"correction_id","source_kind","source_id","source_ledger_ids","source_reference","disposition","final_research_resolution","reason","research_status","implementation_status","authoritative_destination","as_of_date"
"DELTA-01","003_CHANGE","DELTA-01","D-01;D-03","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:131","ACCEPTED","Require exact calendar-period Yo Y with a missing required base reported as unavailable. Use 3.3530% headline and 2.4462% core CPI for the captured August observation.","The positional implementation crosses the missing October 2025 month; corrected research values are already independently reproduced.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/INDICATOR_CONTRACT.csv","2026-09-20"
"DELTA-02","003_CHANGE","DELTA-02","D-04;D-06;P-07;P-08;P-09","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:1009","MODIFIED","Use corrected CPI values, null benchmarks and marginal-verdict disclosures in the final research. Preserve original generated artifacts as historical evidence rather than regenerating them in place.","Historical outputs and sealed records are intentionally immutable; the final package supersedes their interpretation without claiming generators were repaired.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"DELTA-03","003_CHANGE","DELTA-03","D-08","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:220","ACCEPTED","Require the exact year-earlier base period; do not substitute an earlier observation when it is missing.","The original helper is correct on the current capture but has a latent fallback defect.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/INDICATOR_CONTRACT.csv","2026-09-20"
"DELTA-04","003_CHANGE","DELTA-04","D-05;P-07;P-09","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:176","ACCEPTED","Apply calendar-correct CPI evidence and corrected null comparisons in research; retain the documented zero verdict changes under the original scoring rules.","A rerun of hardcoded verdict literals is not independent adjudication; the nineteen-row re-evaluation supports the bounded conclusion.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"DELTA-05","003_CHANGE","DELTA-05","D-01;D-04","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:270","ACCEPTED","Specify exact calendar alignment in the historical helper scripts; distinguish benign pre-gap results from affected modern CPI calculations.","A defective general method need not invalidate unaffected historical outputs.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/evidence/reconciliation_notes.md","2026-09-20"
"DELTA-06","003_CHANGE","DELTA-06","D-09","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:303","MODIFIED","Do not interpolate a missing required CPI observation. Define availability from the endpoints needed by each metric; do not suppress valid endpoint Yo Y because of an unrelated interior gap.","Current August Yo Y is valid when August 2025 and August 2026 are present; path-dependent statistics require their complete declared path.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/INDICATOR_CONTRACT.csv","2026-09-20"
"DELTA-07","003_CHANGE","DELTA-07","A-09","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:345","ACCEPTED","Exclude incomplete horizons from mature five-year summaries and publish the 41.459% versus 27.040% sensitivity with sample labels.","The 56/60-month episode belongs in an explicitly partial-horizon record, not a completed five-year aggregate.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"DELTA-08","003_CHANGE","DELTA-08","A-17;A-18;A-20","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:586","ACCEPTED","Label target elements by their actual observation dates, including the partial-September CAPE and quarterly profit share.","The historical code disclosed mixed vintages; the misleading uniform-month heading is the defect.","APPLIED_BY_FINAL_SUPERSESSION","HISTORICAL_EDIT_NOT_APPLIED","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"DELTA-09","003_CHANGE","DELTA-09","A-01;A-02;A-04;A-05","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:392","MODIFIED","Use prior-only expanding ranks as the primary research specification; retain full-sample outputs as diagnostics and identify which component and joint-pool analyses have actually been recomputed.","Review 002 already examined expanding energy and calm-credit components; final quantitative evidence completes the distinct joint rich-and-calm pool and common-window comparison.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/evidence/quantitative_completion.md","2026-09-20"
"DELTA-10","003_CHANGE","DELTA-10","P-10;R-09","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:446","MODIFIED","Retire the old composite score and its four kill criteria as the final decision authority. Specify indicator-level observations, comparisons and review actions; do not patch the old composite into a new trading rule.","Research-only authorization supports a corrected specification, not implementation of an investment or trading signal.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/INDICATOR_CONTRACT.csv","2026-09-20"
