"claim_id","input_package","old_verdict","blind_verdict","old_group","blind_group","exact_disagreement","collapsed_disagreement","old_eligible","blind_eligible","eligibility_change","sampling_weight","comparison_type","post_unblinding_assessment","old_source","old_note","blind_source","blind_note"
"AJ-20260605-13","V1_ai_bubble","MOSTLY_TRUE","MISLEADING","supported","adverse","1","1","1","1","0","24.0","same_evidence_severity","Both notes recognize FTSE true/S&P headline-index claim wrong. Disagreement is how material the S&P scope error is; not a newly discovered factual difference.","Callan 'Mega-IPOs: Index providers changing IPO inclusion rules'","The FTSE Russell five-day figure is exact. 'S&P is doing the same' is wrong for the headline S&P 500 - the index most retirement accounts actually track.","https://www.lseg.com/en/media-centre/press-releases/ftse-russell/2026/ftse-russell-introduces-ipo-fast-entry-enhancements-for-russell-us-indexes; https://press.spglobal.com/2026-06-04-S-P-Dow-Jones-Indices-Consultation-on-Treatment-of-MegaCap-Companies-Results","The FTSE component is real, but S&P was explicitly not doing the same as of the preceding day. Universal coordination and suspicious timing are not established by the policy documents."
"BR-20260629-06","V1_ai_bubble","UNVERIFIABLE","MOSTLY_TRUE","unresolved","supported","1","1","0","1","1","24.0","new_public_evidence","Old pass lacked single-stock prices; second reader found dated public price tables. Source-availability improvement, not proof the old UNVERIFIABLE was improper.","FRED NASDAQCOM; no single-stock series available","Plausible in direction; unverifiable in magnitude.","https://www.financecharts.com/compare/AAPL,AMZN,NVDA/summary/price; https://www.statmuse.com/money/ask/nvda-june","The recent drawdowns have the stated direction and approximate scale, but 12/17/18 are not an exact common closing-price calculation. Recording time, intraday versus closing highs and dividend adjustments are unspecified. These are public data publishers, not exchange-certified extracts."
"BR-20260912-27","V1_ai_bubble","MOSTLY_TRUE","MISLEADING","supported","adverse","1","1","1","1","0","24.0","same_evidence_severity","Both distinguish realized revenue from annualized run rate. Old pass identifies 2024 endpoint as run rate too, so the blind suggestion of mismatched 2024 annual revenue is not independently settled. Material-label threshold remains disputed.","FutureSearch Anthropic financial forecast (compiling reported ARR milestones); CNBC 2026-05-28","The endpoints and the '70-fold' are right ON RUN-RATE. It is annualised run-rate, not revenue: booked calendar-year revenue is far lower. The same channel used booked revenue ($20-25B for both labs) three months earlier.","https://www.anthropic.com/news/series-h; https://www.ark-invest.com/newsletters/issue-521; https://temaetfs.com/insights/anthropic-the-economics-of-an-ai-pioneer?hs_amp=true; https://www.linkedin.com/in/adriennav","Large growth is real, but an external high-frequency run-rate estimate is presented as company revenue and compared to a 2024 annual amount without matching periods or accounting scope. The 70x calculation cannot establish like-for-like realized revenue growth."
"BR-20260916-14","V1_ai_bubble","MISLEADING","UNVERIFIABLE","adverse","unresolved","1","1","1","0","-1","24.0","operationalization_difference","Old pass identifies a Ken French proxy and distinguishes utilities from manufacturing; blind reader required specified sector/index onset and did not reproduce that proxy. Do not call old MISLEADING wrong merely because the blind label is UNVERIFIABLE.","Ken French 12_Industry_Portfolios and F-F factors (factbase fb.ff_industries_vw(), fb.ff_factors())","The '80% collapse' is right (83.7%). The mechanism is not: utilities never began underperforming before the top. What IS true is the industrial half - Manufacturing's relative performance peaked February 1929, exactly six months before the August 1929 market top. The chart's headline attribute is on the wrong sector.","review/phase_c/second_reader_data_checks.json; data/raw/; scripts/factbase.py; corpus/transcripts/bravos_2026-09-16_jx3Ll-GJtMY.txt @4:46","The crash magnitude is broadly supportable. Exactly six months of predictive lead from utilities AND industrials cannot be reproduced without the underlying sector series and a pre-specified onset rule. Historical analogy is not established by confirming the subsequent crash."
"BR-20260629-25","V1_ai_bubble","TRUE","MOSTLY_TRUE","supported","supported","1","0","1","1","0","24.0","temporal_and_metric_evidence_defect","Original TRUE note relies on September 6 material after the June 29 video and 2027 capex/cloud-revenue evidence for a 2026 capex/operating-cash-flow claim. This evidentiary mismatch is demonstrable even though earlier research supports the approximate claim.","Motley Fool 2026-09-06; Yahoo Finance 'Hyperscalers Are Spending 102% of Cloud Revenue on Capex'; FactSet Insight; CFO Dive","This is the strongest-supported plank of the whole AI-credit thesis on both channels.","https://business.columbia.edu/sites/default/files-efs/imce-uploads/svannieuwerburgh/papers/FinancingAIBuildout_03192026.pdf; https://am.gs.com/cms-assets/gsam-app/documents/insights/en/2026/market_monitor_050826.pdf","Supported as an estimate known before the video, not an observed full-year outcome. Total hyperscaler capital expenditure is broader than exclusively AI spending and cash flow must mean operating cash flow, not free cash flow."
"AJ-20260916-07","V1_ai_bubble","TRUE","TRUE","supported","supported","0","0","1","1","0","24.0","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","Musk at SXSW 2018; Musk on X, 2017","Quoted accurately; the clip is unattributed in the video.","https://schedule.sxsw.com/2018/events/PP100208; https://globalnews.ca/video/4076983/elon-musk-calls-lack-of-a-i-oversight-insane-says-its-more-dangerous-than-nukes/","Quote attribution checks out. TRUE applies to what Musk said; relative AI/nuclear danger is an opinion, not a measured probability validated by this quotation."
"AJ-20260916-39","V1_ai_bubble","MOSTLY_TRUE","MISLEADING","supported","adverse","1","1","1","1","0","24.0","same_evidence_severity","Both document controlled scheming and reject proof of an innate survival instinct. Difference is whether the overreach deserves MISLEADING rather than MOSTLY_TRUE.","Apollo Research, 'Frontier Models are Capable of In-context Scheming' (2024); Anthropic agentic-misalignment research (2025)","The incidents are real and were in controlled labs, as stated. But these are heavily scaffolded evaluations explicitly designed to elicit the behaviour - 'the survival instinct has been proven' overstates what they establish.","https://apolloresearch.ai/science/demo-example-scheming-reasoning-evaluations","The laboratory behaviors are documented and the video does acknowledge a controlled lab. A general or innate survival instinct being proven goes beyond the result, especially without reporting prompting conditions and low-frequency complete sequences."
"AJ-20260819-35","V1_ai_bubble","MOSTLY_TRUE","MOSTLY_TRUE","supported","supported","0","0","1","1","0","24.0","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","BigGo 'Hyperscaler Purchase Commitments Surge Past $1.5 Trillion'; Fortune 2026-02-25 ($662B); BIS Quarterly Review 2026-03 'Financing the AI infrastructure boom: on- and off-balance sheet borrowing'","The $1.5T total is sourceable; the '$1 trillion off balance sheet' split is not (the documented figure was $662B in Feb 2026), and the attribution to Goldman Sachs is unconfirmed.","https://www.myrmikan.com/pub/Myrmikan_Research_2026_08_14.pdf pp.11-12; https://www.edwardconard.com/macro-roundup/the-hyperscalers-exploding-purchase-commitments-reach-1-5tn/","The published estimate and order of magnitude match. Not appearing as a recognized balance-sheet lease liability does not mean no disclosure: uncommenced commitments can be disclosed in notes. Goldman underlying workbook was not independently accessible."
"BR-20260529-06","V2_equity_valuation","MOSTLY_TRUE","MOSTLY_TRUE","supported","supported","0","0","1","1","0","15.5","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","FRED SP500","Close; slightly overstated.","review/phase_c/second_reader_data_checks.json; data/raw/; scripts/factbase.py; FRED SP500","Another substantial rally is supported, but 25% overstates the gain from the specified month by at least about three percentage points. It is not an exact TRUE result under the protocol rounding test; broad direction and rough magnitude justify MOSTLY_TRUE."
"BR-20260809-16","V2_equity_valuation","FALSE","UNVERIFIABLE","adverse","unresolved","1","1","1","0","-1","15.5","source_convention_difference","Old pass uses its own spliced earnings-yield series; blind reader found raw Shiller earnings stale. Need audit splice and availability before resolving. Blind UNVERIFIABLE is not a refutation of the original measured spread.","FRED TB3MS; own spliced S&P earnings yield","Cash is roughly a third as attractive versus stocks as it was in 2024, and the 2007 comparison is backwards: before the GFC the spread was negative. Claim is contradicted by the data on all three of its named analogues.","review/phase_c/second_reader_data_checks.json; data/raw/; scripts/factbase.py; corpus/transcripts/bravos_2026-08-09_rv4PIOsQq_g.txt @3:00-4:39","Trailing versus forward earnings, equity universe and chart transformation matter. A current-price/old-earnings calculation would be invalid. I cannot verify the claimed rank against 1990, 2000 and 2007 using the available complete observations."
"BR-20260529-05","V2_equity_valuation","UNVERIFIABLE","MOSTLY_TRUE","unresolved","supported","1","1","0","1","1","15.5","missed_embedded_attribution","Original generic advice label misses a factual claim that published headlines existed in July 2025. Dated Apollo/press examples make that component checkable.","n/a","Recommendation/opinion row; retained for completeness per the protocol.","https://www.apolloacademy.com/ai-bubble-today-is-bigger-than-the-it-bubble-in-the-1990s/; https://www.axios.com/2025/07/22/stock-market-bubble-wall-street","Existence and July timing of prominent bubble coverage are supported. This does not establish that all mainstream media shared a view, and the exact unspecified 2007 comparison was not identified."
"BR-20260912-50","V2_equity_valuation","UNVERIFIABLE","UNVERIFIABLE","unresolved","unresolved","0","0","0","0","0","15.5","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","n/a","Recommendation/opinion row; retained for completeness per the protocol.","corpus/transcripts/bravos_2026-09-12_RUH3BPQ5fTo.txt @18:42","Advice and a conditional market thesis, not a resolved factual observation. Claims that timing will not work or passive investing stops working cannot receive a factual accuracy mark without operational definitions."
"BR-20260916-44","V2_equity_valuation","TRUE","TRUE","supported","supported","0","0","1","1","0","15.5","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","Peter Lynch, widely documented (Beating the Street, 1993)","Attribution correct. The channel drops ""or trying to anticipate corrections"", which slightly broadens it, but the sense is unchanged.","https://catalogimages.wiley.com/images/db/pdf/9781118929001.excerpt.pdf; https://www.hartfordfunds.com/dam/en/docs/pub/prospectingmaterials/Brochures/P3320.pdf","Accept the attribution, not a universally quantified empirical loss comparison. The original Worth interview was not retrieved, so confidence is lower than a direct recording."
"BR-20260723-14","V2_equity_valuation","MOSTLY_TRUE","UNVERIFIABLE","supported","unresolved","1","1","1","0","-1","15.5","unsupported_primary_precision","Original acknowledges no primary re-derivation and gives a different starting weight; blind reader withholds support without a matching series. Not a proven incorrect historical direction.","Widely published S&P/GICS sector-weight history (not re-derived from primary data here)","Understated at both ends (9%->33%, not 15%->30%), i.e. the historical analogue was MORE extreme than stated. Not verified against a primary S&P source in this pass.","https://www.frbsf.org/research-and-insights/publications/economic-letter/2001/06/the-stock-market-what-a-difference-a-year-makes/; https://archive.yardeni.com/pub/t_051128.pdf","Sector classification, earnings convention, start/end month and point-in-time constituents are absent. The two exact historical comparisons remain unverified; this is not evidence that they are false."
"BR-20260916-43","V2_equity_valuation","UNVERIFIABLE","UNVERIFIABLE","unresolved","unresolved","0","0","0","0","0","15.5","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","n/a","Recommendation/opinion row; retained for completeness per the protocol.","corpus/transcripts/bravos_2026-09-16_jx3Ll-GJtMY.txt @18:16","Not a fact-checkable statement as phrased. A rhetorical investment recommendation should not count as either a confirmed fact or a forecast hit."
"BR-20260501-30","V2_equity_valuation","UNVERIFIABLE","UNVERIFIABLE","unresolved","unresolved","0","0","0","0","0","15.5","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","n/a","Recommendation/opinion row; retained for completeness per the protocol.","corpus/transcripts/bravos_2026-05-01_YUwjueXzffE.txt @7:38","The embedded percentage is testable in principle but no population, period or definition of bottom is provided. General evidence of poor investor timing cannot verify 90%; the surrounding advice is nonfactual."
