claim_id,channel,video_id,video_date,timestamp,claim_type,thesis_cluster,claim_text,data_cited,source_cited,input_package
AJ-20260605-13,jikh,yhRjvX_t4hc,2026-06-05,7:08,POLICY_FACT,AI_BUBBLE,"Nasdaq is not alone: FTSE Russell now allows index inclusion after just 5 days and S&P is doing the same - every major index provider is racing to update its rules weeks and months before the biggest IPOs in history, which 'some people say' is suspicious timing.",FTSE Russell 5-day inclusion,FTSE Russell; S&P Dow Jones Indices,V1_ai_bubble
BR-20260629-06,bravos,OZhbi8m1Mw8,2026-06-29,0:41,DATA_POINT,AI_BUBBLE,"Apple is down 12% from its highs, Amazon 17% and Nvidia 18% from its highs.",AAPL -12%; AMZN -17%; NVDA -18% from highs,none,V1_ai_bubble
BR-20260912-27,bravos,RUH3BPQ5fTo,2026-09-12,10:03,DATA_POINT,AI_BUBBLE,"Anthropic's revenue went from $1 billion to $74 billion since 2024, a more than 70-fold increase.",Anthropic revenue $1B (2024) -> $74B; >70x,none,V1_ai_bubble
BR-20260916-14,bravos,jx3Ll-GJtMY,2026-09-16,4:46,DATA_POINT,AI_BUBBLE,"Once 1920s utility and industrial stocks began underperforming the broader market, exactly 6 months later the rest of the US stock market began an 80% collapse.",utilities underperform -> 6 months -> 80% market collapse (1929-32),none,V1_ai_bubble
BR-20260629-25,bravos,OZhbi8m1Mw8,2026-06-29,4:34,DATA_POINT,AI_BUBBLE,The AI hyperscalers are projected to see their capital spending on AI reach almost 100% of cash flow in 2026.,"hyperscaler AI capex ~100% of cash flow, 2026",none,V1_ai_bubble
AJ-20260916-07,jikh,xSXNSt0m-go,2026-09-16,1:04,SOURCE_CITATION,AI_BUBBLE,Clip: the danger of AI is much greater than the danger of nuclear warheads 'by a lot'.,,unnamed clip (wording matches Elon Musk),V1_ai_bubble
AJ-20260916-39,jikh,xSXNSt0m-go,2026-09-16,17:01,SOURCE_CITATION,AI_BUBBLE,In 2024 and 2025 researchers testing frontier models had an incident where a model that believed it was about to be shut down and replaced tried to copy itself to another server and then lied about it (in a controlled lab) -- the survival instinct 'has been proven'.,2024-2025,unnamed frontier-model researchers,V1_ai_bubble
AJ-20260819-35,jikh,_YXDHskRP6Y,2026-08-19,18:43,SOURCE_CITATION,AI_BUBBLE,"According to Goldman Sachs, these companies have about $1.5 trillion in lease commitments, of which $1 trillion does not appear on their balance sheets at all.",$1.5T leases; $1T off-balance-sheet,Goldman Sachs,V1_ai_bubble
BR-20260529-06,bravos,eKomHGJgJEU,2026-05-29,1:03,DATA_POINT,EQUITY_VALUATION,"Since July 2025, when those headlines began, the S&P 500 has moved up by another 25%.",S&P 500 +25% since Jul 2025,none,V2_equity_valuation
BR-20260809-16,bravos,rv4PIOsQq_g,2026-08-09,4:09,DATA_POINT,EQUITY_VALUATION,"Today cash is the most attractive relative to stocks it has been since right before the great financial crisis, right before the dot-com bust and right before the 1990 recession.",earnings yield minus 3m yield at multi-decade extreme,none,V2_equity_valuation
BR-20260529-05,bravos,eKomHGJgJEU,2026-05-29,0:49,SOURCE_CITATION,EQUITY_VALUATION,"Mainstream media is calling this a euphoric market or even a mania, comparing today to 1999 and 2007, and some of those headlines date back to July 2025.",none,unnamed mainstream media headlines (Jul 2025-May 2026),V2_equity_valuation
BR-20260912-50,bravos,RUH3BPQ5fTo,2026-09-12,18:42,RECOMMENDATION,EQUITY_VALUATION,"Don't sell all your stocks and try to time the market - that won't work; but don't expect simple buy-and-hold to work like it has - passive investing stops working in these conditions; you don't need to day-trade or stock-pick, but you need the right strategy.",none,none,V2_equity_valuation
BR-20260916-44,bravos,jx3Ll-GJtMY,2026-09-16,18:26,SOURCE_CITATION,EQUITY_VALUATION,Peter Lynch: far more money has been lost by investors preparing for corrections than has been lost in corrections themselves.,none,Peter Lynch,V2_equity_valuation
BR-20260723-14,bravos,QNFLN6IvB88,2026-07-23,2:42,DATA_POINT,EQUITY_VALUATION,Between 1995 and 2000 technology earnings roughly doubled and tech's share of the S&P 500 climbed from around 15% to nearly 30%.,"tech earnings 2x; weight 15% -> ~30%, 1995-2000",none,V2_equity_valuation
BR-20260916-43,bravos,jx3Ll-GJtMY,2026-09-16,18:16,RECOMMENDATION,EQUITY_VALUATION,The worst thing you can do in the middle of one of the fastest and largest investment booms in history is to sit on the sidelines waiting for it to collapse.,none,none,V2_equity_valuation
BR-20260501-30,bravos,YUwjueXzffE,2026-05-01,7:38,RECOMMENDATION,EQUITY_VALUATION,"This does not mean you should sell your entire stock portfolio, but you should prepare to take advantage of the massive opportunities that will come from higher volatility in the coming years, planning ahead so you don't sell at the bottom like 90% of investors.",'90% of investors' sell at the bottom,none,V2_equity_valuation
BR-20260905-03,bravos,_rwFYNlKtEc,2026-09-05,0:30,DATA_POINT,SOVEREIGN_DEBT_FISCAL,"It also borrowed for 30 years at more than 5%, the highest rate going back to 2001.",30-year auction >5%; highest since 2001,none,V3_fiscal_fed_liquidity
BR-20260905-04,bravos,_rwFYNlKtEc,2026-09-05,0:39,DATA_POINT,SOVEREIGN_DEBT_FISCAL,The cost of long-term US government borrowing has jumped to the highest level in 25 years.,long-term borrowing cost 25-year high,none,V3_fiscal_fed_liquidity
BR-20260825-16,bravos,PWMhM2_dj3s,2026-08-25,4:51,POLICY_FACT,SOVEREIGN_DEBT_FISCAL,The ECB stepped in for Greece in 2011.,none,ECB,V3_fiscal_fed_liquidity
AJ-20260622-41,jikh,nHy5u06we_s,2026-06-22,18:57,SOURCE_CITATION,SOVEREIGN_DEBT_FISCAL,A Fed paper found that funds based in the Cayman Islands bought about 37% of all new government notes and bonds issued since 2022 - highly leveraged hedge funds are now the marginal Treasury buyers.,Cayman-based funds ~37% of net note/bond issuance since 2022,Federal Reserve paper,V3_fiscal_fed_liquidity
AJ-20260622-32,jikh,nHy5u06we_s,2026-06-22,13:22,POLICY_FACT,LIQUIDITY_PLUMBING,"The post-2008 supplementary leverage ratio (SLR) limits how much a bank can hold relative to its own capital, including Treasuries; when COVID hit in 2020 the Fed temporarily exempted Treasuries for about a year, banks piled hundreds of billions into Treasuries and the bond market ran smooth, and when the exemption expired in March 2021 the bond market got choppy.",SLR Treasury exemption Apr 2020 - Mar 2021; 'hundreds of billions',none,V3_fiscal_fed_liquidity
BR-20260905-21,bravos,_rwFYNlKtEc,2026-09-05,6:41,DATA_POINT,SOVEREIGN_DEBT_FISCAL,"The last time interest took a similar share of revenue was the late 1970s/early 1980s, when long-term rates averaged above 10%; today long rates are less than half that yet the government already spends more of its revenue on interest than back then.",1979-85 long rates >10%; interest/revenue then vs now,none,V3_fiscal_fed_liquidity
AJ-20260407-15,jikh,38qyqO44qrk,2026-04-07,7:02,DATA_POINT,SOVEREIGN_DEBT_FISCAL,The 10-year Treasury yield was 'in the 3s' when the war started and has gone up in the last 4 weeks.,10y <4% on 2026-02-27,none,V3_fiscal_fed_liquidity
AJ-20260615-03,jikh,HIBozcOlQPY,2026-06-15,0:32,POLICY_FACT,FED_RATES_FINANCIAL_REPRESSION,"Kevin Warsh chairs his first Federal Reserve (FOMC) meeting on Wednesday June 17, 2026.",FOMC date 2026-06-17,none,V3_fiscal_fed_liquidity
AJ-20260910-44,jikh,iBxWsP8k9XM,2026-09-10,16:13,POLICY_FACT,OIL_ENERGY_GEOPOLITICS,"Xi Jinping signed a declaration with Russia, India and Pakistan condemning US strikes and sanctions on Iran -- China has picked its side -- and almost nobody in the Western financial press covered it.",,none,V4_oil_geopolitics_tariffs
BR-20260326-04,bravos,d2xewVN_eDE,2026-03-26,0:21,POLICY_FACT,OIL_ENERGY_GEOPOLITICS,In the last week Donald Trump has been trying to accelerate a ceasefire with Iran; after his announcement oil declined roughly 9%.,oil -9% post-announcement,Donald Trump,V4_oil_geopolitics_tariffs
AJ-20260331-19,jikh,Dt45p4wuNow,2026-03-31,8:18,POLICY_FACT,OIL_ENERGY_GEOPOLITICS,Russia is the one alternative seller for Asia and offers energy in yuan or rubles; Japan called Russian oil 'extremely important for energy security'; South Korea is considering importing Russian oil; even the US is backing off sanctions on Russian oil.,,none,V4_oil_geopolitics_tariffs
AJ-20260910-11,jikh,iBxWsP8k9XM,2026-09-10,3:00,DATA_POINT,OIL_ENERGY_GEOPOLITICS,Diesel refinery rates (crack spreads) have tripled since the Strait of Hormuz closed.,3x,none,V4_oil_geopolitics_tariffs
AJ-20260420-18,jikh,f353QO5Dgus,2026-04-20,8:08,DATA_POINT,OIL_ENERGY_GEOPOLITICS,"Emergency alternatives: US spare capacity ~1 mb/d, Venezuela under 1 mb/d, Canada via Pacific routes under 1 mb/d -- about 2.8 mb/d in total against 8-13 mb/d missing, so reserves will eventually run out and there will be a shortage.",2.8 mb/d vs 8-13 mb/d,none,V4_oil_geopolitics_tariffs
