category,file,line,severity,summary,suggested_fix,owner,ticket_id,due_date
Placeholder Tests,tests/test_order_lifecycle.py,135,CRITICAL,Outbox verification always returns True without database check,Replace placeholder with real outbox query checking OutboxEvent table for order_id + event_type,Backend Team,,
Database Mismatches,scripts/testing/test_layers_1_to_4_consolidated.py,493,CRITICAL,Falls back to SQLite in-memory when DATABASE_URL missing,Fail test with pytest.fail() if DATABASE_URL not set or not PostgreSQL,Database Team,,
Gate Bypasses,scripts/testing/automated_promotion_gates.py,74,CRITICAL,slo_monitoring_required=False by default in staging,Set slo_monitoring_required=True for staging and production environments,SRE Team,,
Instrumentation Gaps,scripts/testing/burn_in_framework.py,417,CRITICAL,Missing K6 data coerced to 0 causing false metrics,Fail with ValueError if total_requests == 0 or missing required metrics,Performance Team,,
Memory Measurement,scripts/testing/burn_in_framework.py,393,CRITICAL,Falls back to system memory when process dies,Raise RuntimeError instead of falling back to psutil.virtual_memory(),SRE Team,,
Database Mismatches,conftest.py,N/A,CRITICAL,No alembic head validation before tests,Add session-scoped fixture to verify alembic current == head,Database Team,,
Security Gates,scripts/ci/quality_gates.ps1,439,CRITICAL,Accepts HIGH/CRITICAL security findings with .bandit baseline,Require security/waivers.yml with per-finding justification + expiry dates,Security Team,,
Instrumentation Gaps,scripts/testing/automated_promotion_gates.py,449,CRITICAL,Availability metric defaults to 0 on missing data,Use None for missing data and fail gate with INSUFFICIENT_DATA status,Observability Team,,
Placeholder Tests,tests/test_routes_registry.py,92,HIGH,16 print statements without assertions - test never fails,Replace print() calls with assert statements to validate routes,QA Team,,
Database Mismatches,backend/database.py,174,HIGH,SQLite default in 50+ locations allows wrong DB usage,Remove all SQLite defaults and require DATABASE_URL with PostgreSQL validation,Backend Team,,
Placeholder Tests,tests/test_route_registry.py,121,HIGH,Pytest.skip without ticket/expiry tracking,Add ticket ID and expiry date to skip messages (format: TEMP-1234 Remove by 2025-10-15),QA Team,,
Instrumentation Gaps,scripts/testing/k6_enhanced_comprehensive_test.js,266,HIGH,Only 3 routes have proper tags causing incomplete metrics,Add tags: { name: 'METHOD /path' } to all http.get/post/put/delete calls,Performance Team,,
Memory Measurement,backend/monitoring/memory_monitor.py,146,HIGH,No tracemalloc usage hides Python-level leaks,Add tracemalloc.start() and take_snapshot() to capture Python allocations,Backend Team,,
Business Flow Realism,scripts/testing/test_layer5_business_workflows.py,926,HIGH,No market hours override for staging tests during off-hours,Add X-Staging-Override header with token validation for staging/test environments,Backend + QA Teams,,
Business Flow Realism,tests/,N/A,HIGH,No idempotency tests for duplicate client_order_id handling,Add test verifying duplicate Idempotency-Key returns same order not new order,Backend Team,,
Placeholder Tests,tests/test_positions_route.py,9,HIGH,Unittest.mock usage instead of real API integration,Replace mock with real Alpaca paper trading client for integration tests,QA Team,,
Instrumentation Gaps,scripts/testing/burn_in_framework.py,424,MEDIUM,Empty route_metrics dict accepted without warning,Log warning if endpoint_latencies dict is empty (indicates missing K6 tagging),Performance Team,,
Memory Measurement,backend/monitoring/memory_monitor.py,165,MEDIUM,Memory snapshot fallback returns zeros hiding errors,Raise RuntimeError instead of returning MemorySnapshot with all zeros,Monitoring Team,,
