"source_id","source_domain","source_dispute","source_003_verdict","source_003_status","source_reference","disposition","final_finding","reason","correction_ids","research_status","implementation_status","authoritative_destination","supporting_evidence","as_of_date"
"D-01","data_integrity","Does the delivered dashboard compute year-over-year positionally?","REVIEW_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:2","ACCEPTED","The delivered historical dashboard uses positional changes across the missing October 2025 CPI row. Final research uses exact calendar-period changes.","The archived generator and reproduction establish the defect; original code is preserved.","DELTA-01;DELTA-05","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_UNTIL_TOOL_DECISION","research/macro/review/final/INDICATOR_CONTRACT.csv","research/macro/review/consolidation/evidence/R4_lookahead_and_cpi_patch.md; source 003 locator: R4_lookahead_and_cpi_patch.md; R6_cpi_blast_radius.md; direct inspection","2026-09-20"
"D-02","data_integrity","Did the original report a fix it had not made?","ORIGINAL_WRONG","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:3","MODIFIED","The original report's statement that dashboard.py had been patched was inaccurate. A completed repair requires inspection of the actual edited artifact.","This is a verification failure; no inference about intent is required.","F16","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/evidence/reconciliation_notes.md","research/macro/review/consolidation/evidence/R4_lookahead_and_cpi_patch.md; source 003 locator: MACRO_BRIEF_001 s8; scripts/dashboard.py:13","2026-09-20"
"D-03","data_integrity","What are the correct 12-month CPI rates for August 2026?","BOTH_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:4","ACCEPTED","The captured August 2026 CPI rates are headline 3.3530% and core 2.4462%; the positional 3.7130% and 2.7635% figures are stale.","Independent reproduction agrees on the calendar-aligned values.","DELTA-01","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_UNTIL_TOOL_DECISION","research/macro/review/final/INDICATOR_CONTRACT.csv","research/macro/review/consolidation/evidence/R6_cpi_blast_radius.md; source 003 locator: R4; R6; review phase_b/cpi_fix_verification.csv","2026-09-20"
"D-04","data_integrity","How far did the stale CPI figures propagate?","REVIEW_CORRECT_OVERBROAD_AS_PHRASED","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:5","MODIFIED","Affected historical CPI artifacts remain preserved. Their final-package interpretations use corrected values and identify dependent rebuttals and benchmarks explicitly.","Superseding research is applied; regenerating historical outputs in place is not authorized.","DELTA-02;DELTA-05","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_UNTIL_TOOL_DECISION","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R6_cpi_blast_radius.md; source 003 locator: R4 sub-claim B5; R6 Task 3","2026-09-20"
"D-05","data_integrity","Did the positional-CPI bug reach the prediction scorecard?","NEITHER_STUDY_FOUND","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:6","MODIFIED","The prediction scorer's raw 12-row CPI shift is defective, but stored verdicts are hardcoded. The nineteen affected-row re-evaluation, not a clean rerun alone, supports zero CPI-induced verdict changes under the old contract.","Separate input defects, measured evidence and the actual verdict-generation path.","DELTA-04","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_UNTIL_TOOL_DECISION","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R6_cpi_blast_radius.md; source 003 locator: R4 new finding; R6 Task 1","2026-09-20"
"D-06","data_integrity","Do any published rebuttals of the channels depend on the stale figures?","ORIGINAL_WRONG_FAVOURS_CHANNELS","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:7","ACCEPTED","Withdraw the five identified rebuttals whose claimed discrepancies depend on stale CPI values, including the denial of an early 2026 headline 2.4% baseline.","The rebuttal's evidence fails; surrounding composite claims still require separate adjudication.","DELTA-02;WD-04","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_UNTIL_TOOL_DECISION","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R6_cpi_blast_radius.md; source 003 locator: R6 Task 3","2026-09-20"
"D-07","data_integrity","Is the review's own pipeline calendar-correct, given it also uses .shift(12)?","REVIEW_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:8","MODIFIED","The review's gapless monthly reindexing makes its 12-period shift calendar-correct and returns missing when a required endpoint is unavailable.","Retain the verified implementation behavior without claiming all missing interior observations invalidate endpoint-only metrics.","F15","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/INDICATOR_CONTRACT.csv","research/macro/review/consolidation/evidence/R6_cpi_blast_radius.md; source 003 locator: R6 Task 4","2026-09-20"
"D-08","data_integrity","Is the original's own replacement yoy() in regime_model.py correct?","NEITHER_STUDY_FOUND_ORIGINAL_DEFECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:9","ACCEPTED","The original replacement helper's nearest-earlier fallback is a latent defect. Exact required base periods must be present.","The current capture is unaffected, so distinguish prospective risk from current numerical error.","DELTA-03","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_UNTIL_TOOL_DECISION","research/macro/review/final/INDICATOR_CONTRACT.csv","research/macro/review/consolidation/evidence/R6_cpi_blast_radius.md; source 003 locator: R6 Task 4","2026-09-20"
"D-09","data_integrity","How does the analog screen handle the missing CPI month?","NEITHER_STUDY_FOUND_ORIGINAL_DEFECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:10","MODIFIED","Interpolation must not silently invent a required observation. The gap's effect depends on the metric: valid August endpoints can support current Yo Y even if an unrelated interior month is absent.","Do not overstate the missing October row as making every later target value invalid.","DELTA-06;F15","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_UNTIL_TOOL_DECISION","research/macro/review/final/INDICATOR_CONTRACT.csv","research/macro/review/consolidation/evidence/R4_lookahead_and_cpi_patch.md; source 003 locator: R6 Task 4","2026-09-20"
"D-10","data_integrity","Does any derived inflation quantity change sign on correction?","NEITHER_STUDY_FOUND","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:11","ACCEPTED","Corrected core-CPI six-month acceleration changes from+0.090 pp to-0.156 pp. The headline-minus-core gap remains positive at+0.9069 pp.","A derived sign changes even though the cited supply-gap threshold does not.","WD-05","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R6_cpi_blast_radius.md; source 003 locator: R6 Task 3","2026-09-20"
"D-11","data_integrity","Does the supply-shock-not-broad-inflation conclusion survive correction?","ORIGINAL_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:12","MODIFIED","The positive headline-minus-core gap and commodity-price rise remain compatible with supply-shock pressure; they are descriptive evidence rather than proof of a unique causal explanation.","A surviving threshold observation does not identify inflation's full causal decomposition.","WD-05","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R6_cpi_blast_radius.md; source 003 locator: R4 B3; R6 Task 3","2026-09-20"
"C-01","corpus_composition","What does the 82.14% accuracy headline actually measure?","REVIEW_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:13","ACCEPTED","82.14% summarizes eligible verdict labels, not the probability that the corpus is true:1058 headline-eligible rows from 1430 fact-verdict rows and 2553 total ledger rows.","Excluded causal, forecast, analog and unresolved claims change what the denominator represents.","WD-01","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R5_review_of_review.md; source 003 locator: composition_and_unverifiable.md; R5 item 4","2026-09-20"
"C-02","corpus_composition","Were 371 claims 'never examined'?","ORIGINAL_WRONG","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:14","ACCEPTED","Unverifiable does not mean unexamined or false. Retain the unresolved-claim taxonomy and distinguish public gaps, commercial verification and operationalization limits.","The 48-row taxonomy supports a heterogeneous missing-evidence explanation.","WD-02","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R5_review_of_review.md; source 003 locator: composition_and_unverifiable.md","2026-09-20"
"C-03","corpus_composition","Is the Bravos/Jikh accuracy gap a composition artifact?","BOTH_PARTIALLY_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:15","MODIFIED","The observed standardized channel gaps do not justify a definitive ranking. Preserve the six specification results, only 862 successful draws of 1500 bootstrap attempts, and the captured-public-material limitation.","An incomplete cluster bootstrap and selected corpus do not identify a channel-wide quality difference.","WD-03","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R5_review_of_review.md; source 003 locator: composition_and_unverifiable.md","2026-09-20"
